par_num	can_num	time	type
10	5	0.03	exhaus
10	5	0.02	exhaus
10	5	0.03	exhaus
10	5	0.02	exhaus
10	5	0.03	exhaus
10	7	0.12	exhaus
10	7	0.11	exhaus
10	7	0.15	exhaus
10	7	0.12	exhaus
10	7	0.1	exhaus
10	9	0.63	exhaus
10	9	0.64	exhaus
10	9	0.35	exhaus
10	9	0.55	exhaus
10	9	0.65	exhaus
10	11	3.26	exhaus
10	11	2.25	exhaus
10	11	2.79	exhaus
10	11	2.4	exhaus
10	11	2.88	exhaus
10	13	13.51	exhaus
10	13	14.9	exhaus
10	13	16.82	exhaus
10	13	10.39	exhaus
10	13	9.25	exhaus
10	15	55.71	exhaus
10	15	76.07	exhaus
10	15	52.62	exhaus
10	15	62.78	exhaus
10	15	61.9	exhaus
10	17	260.29	exhaus
10	17	239.98	exhaus
10	17	234.23	exhaus
10	17	324.31	exhaus
10	17	208.81	exhaus
10	19	1669.57	exhaus
10	19	1469.23	exhaus
10	19	1198.0	exhaus
10	19	888.01	exhaus
10	19	1130.73	exhaus
30	5	0.09	exhaus
30	5	0.11	exhaus
30	5	0.08	exhaus
30	5	0.08	exhaus
30	5	0.08	exhaus
30	7	0.44	exhaus
30	7	0.62	exhaus
30	7	0.55	exhaus
30	7	0.28	exhaus
30	7	0.62	exhaus
30	9	1.87	exhaus
30	9	1.68	exhaus
30	9	2.57	exhaus
30	9	2.29	exhaus
30	9	1.72	exhaus
30	11	8.2	exhaus
30	11	8.97	exhaus
30	11	9.02	exhaus
30	11	8.8	exhaus
30	11	11.67	exhaus
30	13	35.97	exhaus
30	13	49.1	exhaus
30	13	38.13	exhaus
30	13	65.22	exhaus
30	13	48.92	exhaus
30	15	185.11	exhaus
30	15	265.0	exhaus
30	15	270.1	exhaus
30	15	184.68	exhaus
30	15	271.24	exhaus
30	17	638.42	exhaus
30	17	1130.28	exhaus
30	17	893.23	exhaus
30	17	690.62	exhaus
30	17	708.11	exhaus
50	5	0.22	exhaus
50	5	0.17	exhaus
50	5	0.23	exhaus
50	5	0.24	exhaus
50	5	0.21	exhaus
50	7	1.1	exhaus
50	7	0.96	exhaus
50	7	0.96	exhaus
50	7	0.82	exhaus
50	7	0.88	exhaus
50	9	4.16	exhaus
50	9	4.07	exhaus
50	9	4.42	exhaus
50	9	4.23	exhaus
50	9	4.09	exhaus
50	11	20.09	exhaus
50	11	22.23	exhaus
50	11	19.25	exhaus
50	11	19.35	exhaus
50	11	20.62	exhaus
50	13	93.61	exhaus
50	13	90.52	exhaus
50	13	90.85	exhaus
50	13	94.42	exhaus
50	13	95.24	exhaus
50	15	446.51	exhaus
50	15	366.64	exhaus
50	15	384.8	exhaus
50	15	384.49	exhaus
50	15	353.98	exhaus
50	17	1670.44	exhaus
50	17	1802.78	exhaus
50	17	1702.77	exhaus
50	17	1615.27	exhaus
50	17	1983.67	exhaus
75	5	0.44	exhaus
75	5	0.53	exhaus
75	5	0.47	exhaus
75	5	0.47	exhaus
75	5	0.48	exhaus
75	7	2.08	exhaus
75	7	2.24	exhaus
75	7	2.13	exhaus
75	7	2.06	exhaus
75	7	2.1	exhaus
75	9	9.65	exhaus
75	9	9.61	exhaus
75	9	10.06	exhaus
75	9	10.66	exhaus
75	9	10.03	exhaus
75	11	46.61	exhaus
75	11	45.46	exhaus
75	11	47.15	exhaus
75	11	40.44	exhaus
75	11	49.27	exhaus
75	13	172.57	exhaus
75	13	192.59	exhaus
75	13	186.68	exhaus
75	13	197.99	exhaus
75	13	172.58	exhaus
75	15	829.85	exhaus
75	15	723.51	exhaus
75	15	812.34	exhaus
75	15	843.26	exhaus
75	15	814.63	exhaus
75	17	3884.2	exhaus
75	17	4026.14	exhaus
75	17	4381.98	exhaus
75	17	3773.65	exhaus
75	17	4611.52	exhaus
100	5	0.41	exhaus
100	5	0.43	exhaus
100	5	0.42	exhaus
100	5	0.46	exhaus
100	5	0.4	exhaus
100	7	2.06	exhaus
