Simu_round	Time_Greedy	Time_exhaus	Number_Greedy	Number_exhaus	Info	greedy_PE	exhaus_PE	greedy_PIC	exhaus_PIC
0	0	0	0	0	Both_failed	0	0	0	0
1	0	0	1	3	Exhaus	0.4124,0.4518,0.4527,0.439	0.4518,0.5141,0.4527,0.4729;0.4518,0.4527,0.4124,0.439;0.5141,0.4527,0.4124,0.4597	0.4662,0.45,0.4992,0.4718	0.45,0.5862,0.4992,0.5118;0.45,0.4992,0.4662,0.4718;0.5862,0.4992,0.4662,0.5172
2	0	0	2	4	Exhaus	0.2995,0.2995,0.4527,0.3506;0.2995,0.2995,0.2551,0.2847	0.2995,0.4527,0.2995,0.3506;0.2995,0.4527,0.5141,0.4221;0.2995,0.2551,0.2995,0.2847;0.2995,0.2551,0.5141,0.3562	0.3142,0.3142,0.4992,0.3759;0.3142,0.3142,0.3318,0.3201	0.3142,0.4992,0.3142,0.3759;0.3142,0.4992,0.5862,0.4665;0.3142,0.3318,0.3142,0.3201;0.3142,0.3318,0.5862,0.4107
3	0	0	0	0	Both_failed	0	0	0	0
4	0	0	0	0	Both_failed	0	0	0	0
5	0	0	0	0	Both_failed	0	0	0	0
6	0	0	2	2		0.8288,0.5535,0.6911;0.8288,0.7522,0.7905	0.8288,0.5535,0.6911;0.8288,0.7522,0.7905	0.7978,0.5812,0.6895;0.7978,0.73,0.7639	0.7978,0.5812,0.6895;0.7978,0.73,0.7639
7	0	0	1	1		0.7522,0.6493,0.427,0.6149,0.6108	0.7522,0.427,0.6149,0.6493,0.6108	0.73,0.672,0.4918,0.6454,0.6348	0.73,0.4918,0.6454,0.672,0.6348
8	0	0	0	0	Both_failed	0	0	0	0
9	0	0	0	0	Both_failed	0	0	0	0
10	0	0	0	0	Both_failed	0	0	0	0
11	0	0	0	0	Both_failed	0	0	0	0
12	0	0	1	1		0.7029,0.427,0.5901,0.5733	0.427,0.5901,0.7029,0.5733	0.7014,0.4918,0.6102,0.6011	0.4918,0.6102,0.7014,0.6011
13	0	0	1	1		0.6493,0.2995,0.427,0.4586	0.427,0.6493,0.2995,0.4586	0.672,0.3142,0.4918,0.4927	0.4918,0.672,0.3142,0.4927
14	0	0	0	0	Both_failed	0	0	0	0
15	0	0	0	0	Both_failed	0	0	0	0
16	0	0	2	3	Exhaus	0.6717,0.5141,0.6501,0.612;0.6717,0.5141,0.427,0.5376	0.5141,0.6501,0.6717,0.612;0.5141,0.6717,0.427,0.5376;0.6501,0.6717,0.427,0.5829	0.6756,0.5862,0.642,0.6346;0.6756,0.5862,0.4918,0.5845	0.5862,0.642,0.6756,0.6346;0.5862,0.6756,0.4918,0.5845;0.642,0.6756,0.4918,0.6031
17	0	0	0	0	Both_failed	0	0	0	0
18	0	0	0	0	Both_failed	0	0	0	0
19	0	0	1	2	Exhaus	0.7454,0.7522,0.7488	0.7522,0.7454,0.7488;0.7522,0.4124,0.5823	0.7446,0.73,0.7373	0.73,0.7446,0.7373;0.73,0.4662,0.5981
20	0	0	0	0	Both_failed	0	0	0	0
21	0	0	2	2		0.4951,0.5901,0.6501,0.5784;0.4951,0.5901,0.5233,0.5362	0.6501,0.5901,0.4951,0.5784;0.5233,0.5901,0.4951,0.5362	0.5632,0.6102,0.642,0.6051;0.5632,0.6102,0.535,0.5695	0.642,0.6102,0.5632,0.6051;0.535,0.6102,0.5632,0.5695
22	0	0	0	0	Both_failed	0	0	0	0
23	0	0	2	2		0.8808,0.5535,0.7171;0.8808,0.5141,0.6974	0.5535,0.8808,0.7171;0.5141,0.8808,0.6974	0.8442,0.5812,0.7127;0.8442,0.5862,0.7152	0.5812,0.8442,0.7127;0.5862,0.8442,0.7152
24	0	0	3	3		0.7057,0.4527,0.5792;0.7057,0.4951,0.6004;0.7057,0.4951,0.6004	0.4527,0.7057,0.5792;0.4951,0.7057,0.6004;0.7057,0.4951,0.6004	0.673,0.4992,0.5861;0.673,0.5632,0.6181;0.673,0.5632,0.6181	0.4992,0.673,0.5861;0.5632,0.673,0.6181;0.673,0.5632,0.6181
25	0	0	0	0	Both_failed	0	0	0	0
26	0	0	1	2	Exhaus	0.6654,0.6717,0.5901,0.6424	0.6717,0.5901,0.6654,0.6424;0.6717,0.5901,0.5141,0.592	0.6918,0.6756,0.6102,0.6592	0.6756,0.6102,0.6918,0.6592;0.6756,0.6102,0.5862,0.624
