ROUND_NUM	CPE	II	ALGO
1	0.439	0.4718	greedy
1	0.4729	0.5118	exhaus
1	0.439	0.4718	exhaus
1	0.4597	0.5172	exhaus
2	0.3506	0.3759	greedy
2	0.2847	0.3201	greedy
2	0.3506	0.3759	exhaus
2	0.4221	0.4665	exhaus
2	0.2847	0.3201	exhaus
2	0.3562	0.4107	exhaus
3	0.6911	0.6895	greedy
3	0.7905	0.7639	greedy
3	0.6911	0.6895	exhaus
3	0.7905	0.7639	exhaus
4	0.6108	0.6348	greedy
4	0.6108	0.6348	exhaus
5	0.5733	0.6011	greedy
5	0.5733	0.6011	exhaus
6	0.4586	0.4927	greedy
6	0.4586	0.4927	exhaus
7	0.612	0.6346	greedy
7	0.5376	0.5845	greedy
7	0.612	0.6346	exhaus
7	0.5376	0.5845	exhaus
7	0.5829	0.6031	exhaus
8	0.7488	0.7373	greedy
8	0.7488	0.7373	exhaus
8	0.5823	0.5981	exhaus
9	0.5784	0.6051	greedy
9	0.5362	0.5695	greedy
9	0.5784	0.6051	exhaus
9	0.5362	0.5695	exhaus
10	0.7171	0.7127	greedy
10	0.6974	0.7152	greedy
10	0.7171	0.7127	exhaus
10	0.6974	0.7152	exhaus
11	0.5792	0.5861	greedy
11	0.6004	0.6181	greedy
11	0.6004	0.6181	greedy
11	0.5792	0.5861	exhaus
11	0.6004	0.6181	exhaus
11	0.6004	0.6181	exhaus
12	0.6424	0.6592	greedy
12	0.6424	0.6592	exhaus
12	0.592	0.624	exhaus
13	0.6323	0.6441	greedy
13	0.6985	0.6937	greedy
13	0.6248	0.6429	exhaus
13	0.6323	0.6441	exhaus
13	0.5	0.5405	exhaus
13	0.6911	0.6925	exhaus
13	0.6985	0.6937	exhaus
13	0.5663	0.5901	exhaus
13	0.6591	0.6623	exhaus
14	0.5345	0.552	greedy
14	0.5345	0.552	exhaus
15	0.5367	0.5801	greedy
15	0.5267	0.5647	greedy
15	0.5367	0.5801	exhaus
15	0.5267	0.5647	exhaus
16	0.4988	0.536	greedy
16	0.4124	0.4662	exhaus
16	0.4988	0.536	exhaus
17	0.4379	0.4697	greedy
17	0.4615	0.4817	greedy
17	0.4584	0.4987	greedy
17	0.4379	0.4697	exhaus
17	0.4615	0.4817	exhaus
17	0.4584	0.4987	exhaus
18	0.4661	0.4939	greedy
18	0.5086	0.5531	greedy
18	0.4267	0.4624	exhaus
18	0.5204	0.5333	exhaus
18	0.4661	0.4939	exhaus
18	0.5086	0.5531	exhaus
19	0.6206	0.632	greedy
19	0.6206	0.632	exhaus
20	0.512	0.5306	greedy
20	0.512	0.5306	exhaus
20	0.4625	0.4837	exhaus
21	0.6834	0.696	greedy
21	0.7021	0.6896	greedy
21	0.6834	0.696	exhaus
21	0.7021	0.6896	exhaus
22	0.5896	0.6109	greedy
22	0.5896	0.6109	exhaus
23	0.4471	0.4581	greedy
23	0.4471	0.4581	exhaus
24	0.5629	0.5925	greedy
24	0.5037	0.5445	greedy
24	0.5629	0.5925	exhaus
24	0.5037	0.5445	exhaus
25	0.486	0.5274	greedy
25	0.486	0.5274	exhaus
25	0.5372	0.5709	exhaus
26	0.5968	0.6011	greedy
26	0.4906	0.5169	greedy
26	0.565	0.5669	greedy
26	0.5722	0.5781	greedy
26	0.565	0.5669	exhaus
26	0.5722	0.5781	exhaus
