ROUND_NUM	GREEDY_num	EXHAUS_num
1	3	3
2	3	3
3	2	2
4	4	4
5	3	3
6	3	3
7	3	3
8	2	2
9	3	3
10	2	2
11	2	2
12	3	3
13	3	3
14	3	3
15	3	3
16	3	3
17	3	3
18	3	3
19	2	2
20	3	3
21	2	2
22	2	2
23	3	3
24	3	3
25	4	4
26	3	3
27	3	3
28	2	2
29	3	3
30	2	2
31	2	2
32	2	2
33	2	2
34	3	3
35	3	3
36	3	3
37	3	3
38	3	3
39	3	3
40	3	3
41	4	4
42	3	3
43	3	3
44	3	3
45	3	3
46	3	3
47	4	4
48	2	2
49	3	3
50	2	2
51	4	4
52	3	3
53	2	2
54	2	2
55	3	3
56	3	3
57	2	2
58	2	2
59	2	2
60	3	3
61	2	2
62	3	3
63	2	2
64	3	3
65	3	3
66	4	4
67	3	3
68	2	2
69	2	2
70	3	3
71	3	3
72	2	2
73	2	2
74	3	3
75	3	3
76	2	2
77	2	2
78	3	3
79	3	3
80	3	3
81	3	3
82	3	3
83	2	2
84	3	3
85	3	3
86	4	4
87	2	2
88	2	2
89	3	2
90	3	3
91	2	2
92	3	3
93	2	2
94	2	2
95	2	2
96	2	2
97	3	3
98	2	2
99	3	3
100	3	3
101	3	3
102	3	3
103	2	2
104	3	3
105	2	2
106	2	2
107	2	2
108	3	3
109	2	2
110	2	2
111	3	3
112	2	2
113	2	2
114	3	3
115	4	4
116	3	3
117	3	3
118	3	3
119	3	3
120	4	4
121	2	2
122	2	2
123	3	3
124	3	3
125	2	2
126	2	2
127	3	3
128	4	4
129	2	2
130	3	3
131	3	3
132	3	3
133	2	2
134	2	2
135	2	2
136	3	3
137	3	3
138	3	3
139	3	3
140	4	4
141	2	2
142	2	2
143	2	2
144	2	2
145	3	3
146	3	3
147	3	3
148	3	3
149	3	3
150	2	2
151	3	3
152	3	3
153	2	2
154	2	2
155	2	2
156	2	2
157	2	2
158	3	3
159	4	4
160	3	3
161	4	4
162	2	2
163	3	2
164	3	3
165	2	2
166	2	2
167	3	3
168	3	3
169	2	2
170	2	2
171	3	3
172	2	2
173	3	3
174	3	3
175	3	3
176	3	3
177	3	3
178	2	2
179	2	2
180	2	2
181	2	2
182	3	3
183	2	2
184	3	3
185	3	3
186	3	3
187	3	3
188	3	3
189	2	2
190	4	4
191	3	3
192	3	3
193	2	2
194	2	2
195	3	3
196	2	2
197	3	3
198	2	2
199	2	2
200	2	2
201	3	3
202	4	4
203	3	3
204	3	3
205	2	2
206	2	2
207	2	2
208	3	3
209	3	3
210	3	3
211	3	3
212	2	2
