Simu_round	Time_Greedy	Time_exhaus	Number_Greedy	Number_exhaus	Info	greedy_PE	exhaus_PE	greedy_PIC	exhaus_PIC
0	0	0	0	0	Both_failed	0	0	0	0
1	0	0	1	3	Exhaus	0.5535,0.4124,0.4518,0.4527,0.4676	0.4518,0.5141,0.4527,0.5535,0.493;0.4518,0.4527,0.5535,0.4124,0.4676;0.5141,0.4527,0.5535,0.4124,0.4832	0.5812,0.4662,0.45,0.4992,0.4992	0.45,0.5862,0.4992,0.5812,0.5292;0.45,0.4992,0.5812,0.4662,0.4992;0.5862,0.4992,0.5812,0.4662,0.5332
2	0	0	2	2		0.4859,0.2995,0.2995,0.4527,0.2551,0.3585;0.4859,0.2995,0.2995,0.4527,0.5535,0.4182	0.2995,0.4527,0.4859,0.2551,0.2995,0.3585;0.2995,0.4527,0.4859,0.2995,0.5535,0.4182	0.5478,0.3142,0.3142,0.4992,0.3318,0.4014;0.5478,0.3142,0.3142,0.4992,0.5812,0.4513	0.3142,0.4992,0.5478,0.3318,0.3142,0.4014;0.3142,0.4992,0.5478,0.3142,0.5812,0.4513
3	0	0	0	0	Both_failed	0	0	0	0
4	0	0	0	0	Both_failed	0	0	0	0
5	0	0	0	0	Both_failed	0	0	0	0
6	0	0	1	1		0.8288,0.7522,0.5901,0.7237	0.5901,0.8288,0.7522,0.7237	0.7978,0.73,0.6102,0.7127	0.6102,0.7978,0.73,0.7127
7	0	0	0	0	Both_failed	0	0	0	0
8	0	0	0	0	Both_failed	0	0	0	0
9	0	0	0	0	Both_failed	0	0	0	0
10	0	0	0	0	Both_failed	0	0	0	0
11	0	0	0	0	Both_failed	0	0	0	0
12	0	0	0	0	Both_failed	0	0	0	0
13	0	0	0	0	Both_failed	0	0	0	0
14	0	0	0	0	Both_failed	0	0	0	0
15	0	0	0	0	Both_failed	0	0	0	0
16	0	0	0	0	Both_failed	0	0	0	0
17	0	0	0	0	Both_failed	0	0	0	0
18	0	0	0	0	Both_failed	0	0	0	0
19	0	0	0	0	Both_failed	0	0	0	0
20	0	0	0	0	Both_failed	0	0	0	0
21	0	0	2	3	Exhaus	0.5901,0.6501,0.4951,0.7169,0.5233,0.5951;0.5901,0.6501,0.4951,0.5535,0.5233,0.5624	0.7169,0.6501,0.5233,0.5901,0.4951,0.5951;0.2749,0.5535,0.5233,0.5901,0.4951,0.4874;0.5535,0.6501,0.5233,0.5901,0.4951,0.5624	0.6102,0.642,0.5632,0.7204,0.535,0.6142;0.6102,0.642,0.5632,0.5812,0.535,0.5863	0.7204,0.642,0.535,0.6102,0.5632,0.6142;0.3648,0.5812,0.535,0.6102,0.5632,0.5309;0.5812,0.642,0.535,0.6102,0.5632,0.5863
22	0	0	0	0	Both_failed	0	0	0	0
23	0	0	0	0	Both_failed	0	0	0	0
24	0	0	3	3		0.7057,0.4527,0.4859,0.5481;0.7057,0.4951,0.4859,0.5622;0.7057,0.4951,0.4859,0.5622	0.4527,0.7057,0.4859,0.5481;0.4951,0.7057,0.4859,0.5622;0.7057,0.4951,0.4859,0.5622	0.673,0.4992,0.5478,0.5733;0.673,0.5632,0.5478,0.5947;0.673,0.5632,0.5478,0.5947	0.4992,0.673,0.5478,0.5733;0.5632,0.673,0.5478,0.5947;0.673,0.5632,0.5478,0.5947
25	0	0	0	0	Both_failed	0	0	0	0
26	0	0	1	2	Exhaus	0.6717,0.5141,0.6717,0.5901,0.6119	0.6717,0.6717,0.5901,0.6654,0.6497;0.6717,0.6717,0.5901,0.5141,0.6119	0.6756,0.5862,0.6756,0.6102,0.6369	0.6756,0.6756,0.6102,0.6918,0.6633;0.6756,0.6756,0.6102,0.5862,0.6369
27	0	0	0	0	Both_failed	0	0	0	0
28	0	0	0	0	Both_failed	0	0	0	0
29	0	0	1	3	Exhaus	0.7522,0.6717,0.4859,0.6717,0.6454	0.6717,0.5535,0.6717,0.4859,0.5957;0.6717,0.6717,0.7522,0.4859,0.6454;0.5535,0.6717,0.7522,0.4859,0.6158	0.73,0.6756,0.5478,0.6756,0.6572	0.6756,0.5812,0.6756,0.5478,0.62;0.6756,0.6756,0.73,0.5478,0.6572;0.5812,0.6756,0.73,0.5478,0.6337
30	0	0	0	0	Both_failed	0	0	0	0
31	0	0	0	0	Both_failed	0	0	0	0
32	0	0	0	0	Both_failed	0	0	0	0
33	0	0	0	0	Both_failed	0	0	0	0
34	0	0	0	0	Both_failed	0	0	0	0
35	0	0	0	0	Both_failed	0	0	0	0
36	0	0	0	0	Both_failed	0	0	0	0
37	0	0	0	0	Both_failed	0	0	0	0
38	0	0	0	0	Both_failed	0	0	0	0
39	0	0	2	3	Exhaus	0.6717,0.2995,0.5535,0.5901,0.5287;0.6717,0.2995,0.5535,0.427,0.4879	0.5535,0.5901,0.6717,0.2995,0.5287;0.5535,0.6717,0.427,0.2995,0.4879;0.5535,0.6717,0.427,0.427,0.5198	0.6756,0.3142,0.5812,0.6102,0.5453;0.6756,0.3142,0.5812,0.4918,0.5157	0.5812,0.6102,0.6756,0.3142,0.5453;0.5812,0.6756,0.4918,0.3142,0.5157;0.5812,0.6756,0.4918,0.4918,0.5601
40	0	0	0	0	Both_failed	0	0	0	0
41	0	0	0	0	Both_failed	0	0	0	0
42	0	0	0	0	Both_failed	0	0	0	0
43	0	0	0	0	Both_failed	0	0	0	0
44	0	0	0	0	Both_failed	0	0	0	0
45	0	0	0	0	Both_failed	0	0	0	0
46	0	0	0	0	Both_failed	0	0	0	0
47	0	0	2	2		0.8808,0.7522,0.4859,0.7063;0.8808,0.7522,0.5233,0.7188	0.8808,0.4859,0.7522,0.7063;0.8808,0.5233,0.7522,0.7188	0.8442,0.73,0.5478,0.7073;0.8442,0.73,0.535,0.7031	0.8442,0.5478,0.73,0.7073;0.8442,0.535,0.73,0.7031
48	0	0	0	0	Both_failed	0	0	0	0
