ROUND_NUM	CPE	II	ALGO
1	0.4676	0.4992	greedy
1	0.493	0.5292	exhaus
1	0.4676	0.4992	exhaus
1	0.4832	0.5332	exhaus
2	0.3585	0.4014	greedy
2	0.4182	0.4513	greedy
2	0.3585	0.4014	exhaus
2	0.4182	0.4513	exhaus
3	0.7237	0.7127	greedy
3	0.7237	0.7127	exhaus
4	0.5951	0.6142	greedy
4	0.5624	0.5863	greedy
4	0.5951	0.6142	exhaus
4	0.4874	0.5309	exhaus
4	0.5624	0.5863	exhaus
5	0.5481	0.5733	greedy
5	0.5622	0.5947	greedy
5	0.5622	0.5947	greedy
5	0.5481	0.5733	exhaus
5	0.5622	0.5947	exhaus
5	0.5622	0.5947	exhaus
6	0.6119	0.6369	greedy
6	0.6497	0.6633	exhaus
6	0.6119	0.6369	exhaus
7	0.6454	0.6572	greedy
7	0.5957	0.62	exhaus
7	0.6454	0.6572	exhaus
7	0.6158	0.6337	exhaus
8	0.5287	0.5453	greedy
8	0.4879	0.5157	greedy
8	0.5287	0.5453	exhaus
8	0.4879	0.5157	exhaus
8	0.5198	0.5601	exhaus
9	0.7063	0.7073	greedy
9	0.7188	0.7031	greedy
9	0.7063	0.7073	exhaus
9	0.7188	0.7031	exhaus
10	0.4421	0.4666	greedy
10	0.4421	0.4666	exhaus
11	0.5606	0.5897	greedy
11	0.5606	0.5897	exhaus
12	0.6409	0.6387	greedy
12	0.6452	0.6454	greedy
12	0.6409	0.6387	exhaus
12	0.6452	0.6454	exhaus
13	0.5308	0.5556	greedy
13	0.5308	0.5556	exhaus
14	0.8808	0.8442	greedy
14	0.8808	0.8442	exhaus
15	0.6391	0.6369	greedy
15	0.6391	0.6369	exhaus
16	0.566	0.5754	greedy
16	0.5978	0.6029	greedy
16	0.6387	0.6494	greedy
16	0.6704	0.6769	greedy
16	0.566	0.5754	exhaus
16	0.543	0.5588	exhaus
16	0.5978	0.6029	exhaus
16	0.6387	0.6493	exhaus
16	0.6156	0.6328	exhaus
16	0.6704	0.6769	exhaus
17	0.6697	0.6521	greedy
