ROUND_NUM	GREEDY_num	EXHAUS_num
1	4	4
2	5	5
3	3	3
4	5	5
5	3	3
6	4	4
7	4	4
8	4	4
9	3	3
10	4	4
11	4	4
12	5	5
13	4	4
14	2	2
15	3	3
16	4	4
17	3	3
18	3	3
19	3	3
20	4	4
21	4	4
22	4	4
23	5	5
24	3	3
25	3	3
26	4	4
27	4	4
28	3	3
29	5	5
30	4	4
31	3	3
32	3	3
33	4	4
34	4	4
35	3	3
36	5	5
37	4	4
38	4	4
39	4	4
40	4	4
41	4	4
42	4	4
43	3	3
44	3	3
45	3	3
46	4	4
47	3	3
48	4	4
49	4	4
50	4	4
51	3	3
52	4	4
53	3	3
54	3	3
55	3	3
56	3	3
57	5	5
58	5	4
59	3	3
60	3	3
61	3	3
62	5	4
63	4	4
64	3	3
65	3	3
66	3	3
67	3	3
68	4	4
69	4	4
70	4	4
71	3	3
72	4	4
73	3	3
74	6	6
75	3	3
76	4	4
77	5	5
78	3	3
79	3	3
80	3	3
81	3	3
82	3	3
83	2	2
84	5	5
85	4	4
86	3	3
87	4	4
88	4	4
89	3	3
90	3	3
91	4	4
92	5	5
93	4	4
94	3	3
95	3	3
96	4	4
97	4	4
98	3	3
99	3	3
100	4	4
101	3	3
102	4	4
103	3	3
104	4	4
105	5	5
106	4	4
107	4	4
108	5	4
109	3	3
110	4	4
111	3	3
112	2	2
113	3	3
114	3	3
115	5	5
116	4	4
117	3	3
118	2	2
119	2	2
120	4	4
121	3	3
122	4	4
123	5	5
124	3	3
125	4	4
126	5	4
127	3	3
128	4	4
129	3	3
130	3	3
131	4	4
132	4	4
133	4	4
134	3	3
135	3	3
136	3	3
137	3	3
138	4	4
139	4	4
140	4	4
141	3	3
142	3	3
143	5	5
144	3	3
145	4	4
146	3	3
147	4	4
148	4	4
149	3	3
150	4	4
151	4	4
152	4	4
153	4	4
154	4	4
155	3	3
156	3	3
157	6	6
158	3	3
159	4	4
160	3	3
161	3	3
162	4	4
163	3	3
164	4	4
165	3	3
166	3	3
167	4	4
168	4	4
169	4	3
170	5	5
171	3	3
172	4	4
173	4	4
174	3	3
175	3	3
176	3	3
177	3	3
178	3	3
179	3	3
180	4	4
181	4	4
182	3	3
183	4	4
184	4	4
185	4	4
186	4	4
187	3	3
188	6	6
189	5	5
190	5	5
191	4	4
192	4	4
193	4	4
194	3	3
195	5	5
196	3	3
197	3	3
198	4	4
199	4	4
200	4	4
201	2	2
202	4	4
203	4	4
204	4	4
205	4	3
206	5	5
207	3	3
208	3	3
209	3	3
210	5	4
211	3	3
212	5	5
213	3	3
214	6	6
215	5	5
216	4	4
217	3	3
218	4	4
219	3	3
220	4	4
221	4	4
222	4	4
223	4	4
224	4	4
225	4	4
226	3	3
227	2	2
228	4	4
229	5	5
230	3	3
231	5	4
232	5	5
233	3	3
234	3	3
235	4	4
236	4	4
237	3	3
238	4	4
239	3	3
240	4	4
241	4	4
242	4	4
243	3	3
244	3	3
245	3	3
246	3	3
247	3	3
248	3	3
249	3	3
250	5	5
251	3	3
252	5	4
253	4	4
254	5	5
255	5	5
256	4	4
257	5	5
258	4	4
259	4	4
260	3	3
261	3	3
262	4	4
263	4	4
264	3	3
265	3	3
266	4	4
267	3	3
268	4	4
269	3	3
270	3	3
271	3	3
272	2	2
273	3	3
274	5	5
275	4	3
276	4	4
277	4	4
278	2	2
279	3	3
280	5	5
281	3	3
282	2	2
283	3	3
284	4	4
285	3	3
286	4	4
287	4	4
288	3	3
289	4	4
290	3	3
291	4	4
292	3	3
293	4	4
294	4	4
295	3	3
296	4	4
297	3	3
298	4	4
299	4	4
300	4	4
301	4	4
302	4	3
303	5	5
304	4	4
305	3	3
306	3	3
307	4	3
308	3	3
309	4	4
310	3	3
311	3	3
312	5	4
313	3	3
314	2	2
315	3	3
316	3	3
317	2	2
318	5	4
319	5	5
320	5	5
321	4	4
322	6	6
323	3	3
324	4	4
325	4	4
326	2	2
327	4	4
328	3	3
329	4	4
330	3	3
331	4	4
332	3	3
333	3	3
334	4	4
335	3	3
336	4	4
337	4	4
338	4	4
339	4	4
340	3	3
341	3	3
342	3	3
343	3	3
344	4	4
345	3	3
346	4	4
347	4	3
348	4	4
349	3	3
350	3	3
351	5	5
352	4	4
353	5	5
354	3	3
355	3	3
356	3	3
357	4	4
358	4	3
359	4	4
360	5	5
361	4	4
362	3	3
363	4	4
364	3	3
365	4	4
366	4	3
367	5	5
368	3	3
369	4	4
370	3	3
371	3	3
372	4	4
373	4	4
374	4	3
375	4	4
376	5	5
377	4	4
378	4	4
379	5	5
380	3	3
381	4	4
382	4	4
383	3	3
384	3	3
385	3	3
386	3	3
387	3	3
388	3	3
389	4	4
390	4	4
391	2	2
392	3	3
393	3	3
394	4	4
395	5	5
396	4	4
397	4	4
398	3	3
399	3	3
400	3	3
401	3	3
402	5	4
403	4	4
404	3	3
405	3	3
406	2	2
407	3	3
408	5	5
409	3	3
410	3	3
411	4	4
412	3	3
413	5	4
414	4	4
415	5	5
416	3	3
417	3	3
418	4	4
419	6	5
420	3	3
421	5	4
422	5	5
423	4	4
424	3	3
425	4	4
426	4	4
427	5	5
428	4	4
429	4	4
430	4	4
431	3	3
432	3	3
433	4	3
434	3	3
435	4	4
436	5	5
437	4	4
438	5	4
439	3	3
440	4	4
441	4	4
442	5	5
443	4	4
444	4	4
