IDX	Exhaus	First	Statistic
0	3	5	PE
1	3	9	PE
2	2	2	PE
3	4	5	PE
4	3	4	PE
5	3	6	PE
6	3	4	PE
7	2	2	PE
8	3	6	PE
9	2	4	PE
10	2	2	PE
11	3	5	PE
12	3	3	PE
13	3	5	PE
14	3	4	PE
15	3	6	PE
16	3	8	PE
17	3	6	PE
18	2	5	PE
19	3	8	PE
20	2	4	PE
21	2	5	PE
22	3	7	PE
23	3	6	PE
24	4	8	PE
25	3	3	PE
26	3	7	PE
27	2	2	PE
28	3	4	PE
29	2	4	PE
30	2	3	PE
31	2	3	PE
32	2	2	PE
33	3	7	PE
34	3	5	PE
35	3	6	PE
36	3	3	PE
37	3	4	PE
38	3	4	PE
39	3	4	PE
40	4	6	PE
41	3	4	PE
42	3	4	PE
43	3	7	PE
44	3	7	PE
45	3	7	PE
46	4	8	PE
47	2	2	PE
48	3	3	PE
49	2	2	PE
50	4	10	PE
51	3	4	PE
52	2	4	PE
53	2	4	PE
54	3	8	PE
55	3	5	PE
56	2	3	PE
57	2	2	PE
58	2	3	PE
59	3	8	PE
60	2	2	PE
61	3	5	PE
62	2	2	PE
63	3	3	PE
64	3	5	PE
65	4	9	PE
66	3	6	PE
67	2	5	PE
68	2	3	PE
69	3	3	PE
70	3	3	PE
71	2	2	PE
72	2	2	PE
73	3	6	PE
74	3	5	PE
75	2	2	PE
76	2	2	PE
77	3	4	PE
78	3	6	PE
79	3	6	PE
80	3	7	PE
81	3	5	PE
82	2	5	PE
83	3	4	PE
84	3	5	PE
85	4	10	PE
86	2	2	PE
87	2	2	PE
88	2	3	PE
89	3	5	PE
90	2	3	PE
91	3	5	PE
92	2	3	PE
93	2	3	PE
94	2	2	PE
95	2	4	PE
96	3	4	PE
97	2	6	PE
98	3	3	PE
99	3	3	PE
100	3	6	PE
101	3	5	PE
102	2	5	PE
103	3	5	PE
104	2	5	PE
105	2	2	PE
106	2	2	PE
107	3	4	PE
108	2	2	PE
109	2	3	PE
110	3	5	PE
111	2	2	PE
112	2	3	PE
113	3	4	PE
114	4	8	PE
115	3	5	PE
116	3	6	PE
117	3	7	PE
118	3	7	PE
119	4	5	PE
120	2	5	PE
121	2	3	PE
122	3	5	PE
123	3	6	PE
124	2	6	PE
125	2	5	PE
126	3	6	PE
127	4	6	PE
128	2	2	PE
129	3	6	PE
130	3	9	PE
131	3	5	PE
132	2	5	PE
133	2	4	PE
134	2	2	PE
135	3	7	PE
136	3	5	PE
137	3	5	PE
138	3	8	PE
139	4	6	PE
140	2	4	PE
141	2	2	PE
142	2	2	PE
143	2	2	PE
144	3	7	PE
145	3	3	PE
146	3	4	PE
147	3	4	PE
148	3	6	PE
149	2	3	PE
150	3	6	PE
151	3	5	PE
152	2	2	PE
153	2	2	PE
154	2	4	PE
155	2	4	PE
156	2	8	PE
157	3	3	PE
158	4	5	PE
159	3	3	PE
160	4	9	PE
161	2	2	PE
162	2	3	PE
163	3	6	PE
164	2	3	PE
165	2	4	PE
166	3	4	PE
167	3	4	PE
168	2	4	PE
169	2	3	PE
170	3	10	PE
171	2	5	PE
172	3	3	PE
173	3	4	PE
174	3	5	PE
175	3	3	PE
176	3	7	PE
177	2	4	PE
178	2	5	PE
179	2	5	PE
180	2	2	PE
181	3	4	PE
182	2	3	PE
183	3	3	PE
184	3	5	PE
185	3	5	PE
186	3	7	PE
187	3	5	PE
188	2	2	PE
189	4	10	PE
190	3	5	PE
191	3	6	PE
192	2	3	PE
193	2	2	PE
194	3	6	PE
195	2	2	PE
196	3	7	PE
197	2	5	PE
198	2	2	PE
199	2	4	PE
200	3	3	PE
201	4	8	PE
202	3	6	PE
203	3	6	PE
204	2	2	PE
205	2	5	PE
206	2	2	PE
207	3	9	PE
208	3	3	PE
209	3	7	PE
210	3	3	PE
211	2	4	PE
212	3	6	PE
213	2	2	PE
214	2	6	PE
215	4	5	PE
216	3	5	PE
217	2	6	PE
218	2	2	PE
219	2	3	PE
220	2	4	PE
221	2	2	PE
222	3	5	PE
223	3	7	PE
224	3	5	PE
225	3	6	PE
226	3	9	PE
227	3	6	PE
228	3	5	PE
229	2	3	PE
230	3	3	PE
231	2	2	PE
232	4	4	PE
233	3	4	PE
234	3	5	PE
235	2	6	PE
236	3	3	PE
237	2	2	PE
238	2	2	PE
239	2	5	PE
240	2	2	PE
241	3	5	PE
242	2	4	PE
243	3	3	PE
244	2	5	PE
245	2	2	PE
246	3	7	PE
247	2	8	PE
248	4	5	PE
249	3	3	PE
250	2	2	PE
251	3	3	PE
252	2	3	PE
253	2	3	PE
254	2	3	PE
255	3	8	PE
256	2	2	PE
257	3	4	PE
258	2	2	PE
259	2	4	PE
260	2	3	PE
261	4	5	PE
262	2	2	PE
263	3	6	PE
264	3	10	PE
265	3	3	PE
266	4	6	PE
267	3	6	PE
268	2	4	PE
269	3	6	PE
270	3	5	PE
271	2	2	PE
272	3	5	PE
273	2	3	PE
274	2	4	PE
275	3	3	PE
276	3	4	PE
277	3	4	PE
278	3	8	PE
279	2	2	PE
280	3	6	PE
281	3	5	PE
282	3	6	PE
283	2	2	PE
284	3	6	PE
285	3	6	PE
286	3	5	PE
287	2	4	PE
288	4	9	PE
289	2	2	PE
290	3	5	PE
291	3	7	PE
292	2	6	PE
293	2	4	PE
294	2	2	PE
295	2	3	PE
296	3	5	PE
297	2	2	PE
298	2	4	PE
299	2	4	PE
300	2	8	PE
301	3	4	PE
302	2	2	PE
303	2	2	PE
304	3	4	PE
305	3	8	PE
306	2	4	PE
307	3	4	PE
308	2	8	PE
309	3	7	PE
310	3	7	PE
311	3	4	PE
312	2	3	PE
313	2	2	PE
314	2	6	PE
315	2	2	PE
316	4	6	PE
317	2	4	PE
318	3	6	PE
319	3	4	PE
320	3	5	PE
321	3	9	PE
322	4	6	PE
323	2	2	PE
324	3	5	PE
325	2	5	PE
326	3	5	PE
327	2	2	PE
328	3	5	PE
329	2	3	PE
330	2	4	PE
331	3	4	PE
332	2	4	PE
333	3	4	PE
334	3	9	PE
335	3	6	PE
336	3	3	PE
337	2	6	PE
338	3	4	PE
339	4	5	PE
340	3	6	PE
341	3	4	PE
342	3	5	PE
343	3	5	PE
344	4	4	PE
345	3	8	PE
346	3	6	PE
347	2	9	PE
348	2	2	PE
349	3	7	PE
350	2	2	PE
351	2	2	PE
352	2	6	PE
353	3	10	PE
354	4	6	PE
355	3	5	PE
356	2	5	PE
357	2	4	PE
358	3	4	PE
359	2	4	PE
360	2	2	PE
361	2	3	PE
362	4	8	PE
363	3	5	PE
364	3	8	PE
365	3	6	PE
366	2	2	PE
367	2	2	PE
368	2	3	PE
369	2	6	PE
370	2	3	PE
371	2	3	PE
372	3	5	PE
373	3	3	PE
374	2	2	PE
375	2	5	PE
376	3	4	PE
377	3	4	PE
378	2	3	PE
379	3	6	PE
380	3	7	PE
381	2	2	PE
382	3	6	PE
383	3	3	PE
384	3	9	PE
385	3	6	PE
386	3	6	PE
387	2	5	PE
388	3	4	PE
389	3	6	PE
390	2	3	PE
391	3	6	PE
392	3	4	PE
393	4	5	PE
394	2	3	PE
395	2	4	PE
396	2	2	PE
397	3	3	PE
398	4	8	PE
399	2	6	PE
400	3	4	PE
401	2	3	PE
402	3	5	PE
403	3	6	PE
404	4	5	PE
405	2	5	PE
406	3	4	PE
407	2	4	PE
408	3	4	PE
409	2	5	PE
410	2	2	PE
411	3	3	PE
412	2	2	PE
413	3	4	PE
414	3	6	PE
415	2	2	PE
416	3	4	PE
417	2	9	PE
418	2	2	PE
419	3	6	PE
420	2	6	PE
421	2	2	PE
422	3	5	PE
423	3	4	PE
424	3	3	PE
425	3	7	PE
426	2	8	PE
427	3	7	PE
428	3	4	PE
429	3	4	PE
430	3	5	PE
431	2	2	PE
432	2	2	PE
433	2	3	PE
434	2	5	PE
435	3	3	PE
436	3	6	PE
437	3	10	PE
438	4	6	PE
439	4	7	PE
440	3	7	PE
441	3	4	PE
442	3	5	PE
443	3	4	PE
444	3	6	PE
445	3	4	PE
446	4	5	PE
447	3	3	PE
448	3	6	PE
449	3	4	PE
