IDX	Exhaus	First	Statistic
0	3	6	PIC
1	3	10	PIC
2	2	2	PIC
3	4	5	PIC
4	3	4	PIC
5	3	7	PIC
6	3	4	PIC
7	2	2	PIC
8	3	5	PIC
9	2	4	PIC
10	2	2	PIC
11	3	5	PIC
12	3	3	PIC
13	3	5	PIC
14	3	3	PIC
15	3	6	PIC
16	3	8	PIC
17	3	7	PIC
18	2	5	PIC
19	3	7	PIC
20	2	4	PIC
21	2	3	PIC
22	3	7	PIC
23	3	6	PIC
24	4	8	PIC
25	3	3	PIC
26	3	7	PIC
27	2	2	PIC
28	3	4	PIC
29	2	4	PIC
30	2	3	PIC
31	2	3	PIC
32	2	2	PIC
33	3	8	PIC
34	3	5	PIC
35	3	6	PIC
36	3	3	PIC
37	3	4	PIC
38	3	4	PIC
39	3	4	PIC
40	4	5	PIC
41	3	4	PIC
42	3	4	PIC
43	3	7	PIC
44	3	7	PIC
45	3	7	PIC
46	4	8	PIC
47	2	2	PIC
48	3	3	PIC
49	2	2	PIC
50	4	9	PIC
51	3	4	PIC
52	2	4	PIC
53	2	4	PIC
54	3	8	PIC
55	3	5	PIC
56	2	3	PIC
57	2	3	PIC
58	2	3	PIC
59	3	6	PIC
60	2	2	PIC
61	3	6	PIC
62	2	2	PIC
63	3	3	PIC
64	3	5	PIC
65	4	9	PIC
66	3	6	PIC
67	2	5	PIC
68	2	3	PIC
69	3	3	PIC
70	3	3	PIC
71	2	2	PIC
72	2	2	PIC
73	3	5	PIC
74	3	6	PIC
75	2	2	PIC
76	2	2	PIC
77	3	4	PIC
78	3	7	PIC
79	3	6	PIC
80	3	6	PIC
81	3	5	PIC
82	2	5	PIC
83	3	4	PIC
84	3	5	PIC
85	4	9	PIC
86	2	2	PIC
87	2	2	PIC
88	2	3	PIC
89	3	5	PIC
90	2	3	PIC
91	3	5	PIC
92	2	3	PIC
93	2	3	PIC
94	2	3	PIC
95	2	4	PIC
96	3	4	PIC
97	2	6	PIC
98	3	3	PIC
99	3	3	PIC
100	3	6	PIC
101	3	4	PIC
102	2	5	PIC
103	3	4	PIC
104	2	5	PIC
105	2	2	PIC
106	2	2	PIC
107	3	4	PIC
108	2	2	PIC
109	2	3	PIC
110	3	4	PIC
111	2	2	PIC
112	2	3	PIC
113	3	4	PIC
114	4	8	PIC
115	3	5	PIC
116	3	6	PIC
117	3	6	PIC
118	3	7	PIC
119	4	5	PIC
120	2	3	PIC
121	2	3	PIC
122	3	5	PIC
123	3	4	PIC
124	2	6	PIC
125	2	5	PIC
126	3	6	PIC
127	4	6	PIC
128	2	2	PIC
129	3	6	PIC
130	3	9	PIC
131	3	6	PIC
132	2	5	PIC
133	2	4	PIC
134	2	2	PIC
135	3	6	PIC
136	3	7	PIC
137	3	5	PIC
138	3	9	PIC
139	4	5	PIC
140	2	4	PIC
141	2	2	PIC
142	2	2	PIC
143	2	2	PIC
144	3	7	PIC
145	3	3	PIC
146	3	4	PIC
147	3	4	PIC
148	3	7	PIC
149	2	3	PIC
150	3	6	PIC
151	3	5	PIC
152	2	2	PIC
153	2	2	PIC
154	2	4	PIC
155	2	4	PIC
156	2	8	PIC
157	3	3	PIC
158	4	5	PIC
159	3	3	PIC
160	4	9	PIC
161	2	2	PIC
162	2	3	PIC
163	3	5	PIC
164	2	4	PIC
165	2	4	PIC
166	3	3	PIC
167	3	4	PIC
168	2	4	PIC
169	2	3	PIC
170	3	9	PIC
171	2	5	PIC
172	3	3	PIC
173	3	5	PIC
174	3	4	PIC
175	3	3	PIC
176	3	7	PIC
177	2	5	PIC
178	2	5	PIC
179	2	5	PIC
180	2	2	PIC
181	3	4	PIC
182	2	3	PIC
183	3	3	PIC
184	3	5	PIC
185	3	5	PIC
186	3	7	PIC
187	3	5	PIC
188	2	2	PIC
189	4	10	PIC
190	3	5	PIC
191	3	4	PIC
192	2	3	PIC
193	2	2	PIC
194	3	6	PIC
195	2	2	PIC
196	3	7	PIC
197	2	5	PIC
198	2	2	PIC
199	2	4	PIC
200	3	4	PIC
201	4	8	PIC
202	3	6	PIC
203	3	6	PIC
204	2	2	PIC
205	2	5	PIC
206	2	2	PIC
207	3	9	PIC
208	3	3	PIC
209	3	6	PIC
210	3	3	PIC
211	2	4	PIC
212	3	6	PIC
213	2	2	PIC
214	2	6	PIC
215	4	4	PIC
216	3	3	PIC
217	2	5	PIC
218	2	2	PIC
219	2	3	PIC
220	2	4	PIC
221	2	2	PIC
222	3	5	PIC
223	3	7	PIC
224	3	5	PIC
225	3	6	PIC
226	3	9	PIC
227	3	6	PIC
228	3	5	PIC
229	2	3	PIC
230	3	3	PIC
231	2	2	PIC
232	4	4	PIC
233	3	4	PIC
234	3	6	PIC
235	2	5	PIC
236	3	3	PIC
237	2	2	PIC
238	2	2	PIC
239	2	4	PIC
240	2	2	PIC
241	3	5	PIC
242	2	4	PIC
243	3	3	PIC
244	2	5	PIC
245	2	2	PIC
246	3	8	PIC
247	2	9	PIC
248	4	5	PIC
249	3	3	PIC
250	2	2	PIC
251	3	3	PIC
252	2	3	PIC
253	2	3	PIC
254	2	3	PIC
255	3	8	PIC
256	2	2	PIC
257	3	4	PIC
258	2	2	PIC
259	2	6	PIC
260	2	3	PIC
261	4	5	PIC
262	2	3	PIC
263	3	6	PIC
264	3	10	PIC
265	3	3	PIC
266	4	6	PIC
267	3	6	PIC
268	2	5	PIC
269	3	7	PIC
270	3	5	PIC
271	2	2	PIC
272	3	4	PIC
273	2	2	PIC
274	2	4	PIC
275	3	4	PIC
276	3	4	PIC
277	3	4	PIC
278	3	8	PIC
279	2	2	PIC
280	3	5	PIC
281	3	6	PIC
282	3	6	PIC
