IDX	Exhaus	First	Statistic
0	4	5	PE
1	5	9	PE
2	3	3	PE
3	5	6	PE
4	3	4	PE
5	4	5	PE
6	4	6	PE
7	4	6	PE
8	3	4	PE
9	4	7	PE
10	4	6	PE
11	5	8	PE
12	4	8	PE
13	2	2	PE
14	3	4	PE
15	4	4	PE
16	3	3	PE
17	3	3	PE
18	3	7	PE
19	4	4	PE
20	4	4	PE
21	4	7	PE
22	5	8	PE
23	3	4	PE
24	3	3	PE
25	4	6	PE
26	4	8	PE
27	3	3	PE
28	5	7	PE
29	4	5	PE
30	3	3	PE
31	3	5	PE
32	4	6	PE
33	4	6	PE
34	3	5	PE
35	5	6	PE
36	4	7	PE
37	4	5	PE
38	4	5	PE
39	4	4	PE
40	4	5	PE
41	4	10	PE
42	3	3	PE
43	3	4	PE
44	3	3	PE
45	4	5	PE
46	3	5	PE
47	4	4	PE
48	4	7	PE
49	4	6	PE
50	3	9	PE
51	4	4	PE
52	3	5	PE
53	3	5	PE
54	3	3	PE
55	3	4	PE
56	5	7	PE
57	4	7	PE
58	3	3	PE
59	3	6	PE
60	3	5	PE
61	4	6	PE
62	4	9	PE
63	3	5	PE
64	3	5	PE
65	3	3	PE
66	3	4	PE
67	4	7	PE
68	4	5	PE
69	4	4	PE
70	3	4	PE
71	4	8	PE
72	3	3	PE
73	6	9	PE
74	3	3	PE
75	4	6	PE
76	5	6	PE
77	3	6	PE
78	3	5	PE
79	3	4	PE
80	3	3	PE
81	3	5	PE
82	2	2	PE
83	5	10	PE
84	4	6	PE
85	3	3	PE
86	4	10	PE
87	4	6	PE
88	3	4	PE
89	3	3	PE
90	4	4	PE
91	5	8	PE
92	4	6	PE
93	3	5	PE
94	3	4	PE
95	4	7	PE
96	4	6	PE
97	3	4	PE
98	3	6	PE
99	4	5	PE
100	3	3	PE
101	4	5	PE
102	3	5	PE
103	4	6	PE
104	5	9	PE
105	4	5	PE
106	4	9	PE
107	4	6	PE
108	3	6	PE
109	4	4	PE
110	3	5	PE
111	2	2	PE
112	3	4	PE
113	3	8	PE
114	5	9	PE
115	4	5	PE
116	3	3	PE
117	2	3	PE
118	2	2	PE
119	4	4	PE
120	3	5	PE
121	4	10	PE
122	5	6	PE
123	3	3	PE
124	4	8	PE
125	4	8	PE
126	3	6	PE
127	4	6	PE
128	3	4	PE
129	3	6	PE
130	4	6	PE
131	4	7	PE
132	4	5	PE
133	3	4	PE
134	3	3	PE
135	3	4	PE
136	3	3	PE
137	4	9	PE
138	4	4	PE
139	4	6	PE
140	3	3	PE
141	3	6	PE
142	5	6	PE
143	3	5	PE
144	4	9	PE
145	3	5	PE
146	4	8	PE
147	4	7	PE
148	3	4	PE
149	4	9	PE
150	4	5	PE
151	4	5	PE
152	4	8	PE
153	4	6	PE
154	3	3	PE
155	3	3	PE
156	6	6	PE
157	3	5	PE
158	4	6	PE
159	3	4	PE
160	3	6	PE
161	4	5	PE
162	3	4	PE
163	4	5	PE
164	3	4	PE
165	3	5	PE
166	4	9	PE
167	4	6	PE
168	3	6	PE
169	5	7	PE
170	3	5	PE
171	4	4	PE
172	4	5	PE
173	3	4	PE
174	3	4	PE
175	3	4	PE
176	3	5	PE
177	3	4	PE
178	3	3	PE
179	4	5	PE
180	4	9	PE
181	3	5	PE
182	4	5	PE
183	4	4	PE
184	4	7	PE
185	4	7	PE
186	3	5	PE
187	6	7	PE
188	5	7	PE
189	5	5	PE
190	4	4	PE
191	4	8	PE
192	4	7	PE
193	3	5	PE
194	5	6	PE
195	3	7	PE
196	3	5	PE
197	4	10	PE
198	4	4	PE
199	4	4	PE
200	2	2	PE
201	4	4	PE
202	4	7	PE
203	4	7	PE
204	3	7	PE
205	5	5	PE
206	3	5	PE
207	3	3	PE
208	3	6	PE
209	4	6	PE
210	3	4	PE
211	5	6	PE
212	3	4	PE
213	6	9	PE
214	5	5	PE
215	4	6	PE
216	3	5	PE
217	4	4	PE
218	3	3	PE
219	4	6	PE
220	4	5	PE
221	4	5	PE
222	4	4	PE
223	4	8	PE
224	4	6	PE
225	3	3	PE
226	2	2	PE
227	4	9	PE
228	5	6	PE
229	3	5	PE
230	4	10	PE
231	5	5	PE
