IDX	Exhaus	First	Statistic
0	4	6	PIC
1	5	10	PIC
2	3	3	PIC
3	5	6	PIC
4	3	4	PIC
5	4	5	PIC
6	4	6	PIC
7	4	7	PIC
8	3	4	PIC
9	4	7	PIC
10	4	6	PIC
11	5	8	PIC
12	4	8	PIC
13	2	2	PIC
14	3	4	PIC
15	4	4	PIC
16	3	3	PIC
17	3	3	PIC
18	3	8	PIC
19	4	4	PIC
20	4	4	PIC
21	4	7	PIC
22	5	8	PIC
23	3	4	PIC
24	3	3	PIC
25	4	7	PIC
26	4	8	PIC
27	3	3	PIC
28	5	7	PIC
29	4	6	PIC
30	3	3	PIC
31	3	5	PIC
32	4	6	PIC
33	4	5	PIC
34	3	5	PIC
35	5	7	PIC
36	4	6	PIC
37	4	5	PIC
38	4	5	PIC
39	4	4	PIC
40	4	5	PIC
41	4	9	PIC
42	3	3	PIC
43	3	4	PIC
44	3	3	PIC
45	4	4	PIC
46	3	5	PIC
47	4	4	PIC
48	4	7	PIC
49	4	5	PIC
50	3	9	PIC
51	4	4	PIC
52	3	5	PIC
53	3	5	PIC
54	3	3	PIC
55	3	4	PIC
56	5	6	PIC
57	4	7	PIC
58	3	3	PIC
59	3	6	PIC
60	3	5	PIC
61	4	6	PIC
62	4	9	PIC
63	3	5	PIC
64	3	5	PIC
65	3	3	PIC
66	3	4	PIC
67	4	7	PIC
68	4	5	PIC
69	4	4	PIC
70	3	4	PIC
71	4	8	PIC
72	3	3	PIC
73	6	9	PIC
74	3	3	PIC
75	4	6	PIC
76	5	6	PIC
77	3	5	PIC
78	3	5	PIC
79	3	4	PIC
80	3	3	PIC
81	3	5	PIC
82	2	2	PIC
83	5	10	PIC
84	4	6	PIC
85	3	3	PIC
86	4	8	PIC
87	4	6	PIC
88	3	4	PIC
89	3	3	PIC
90	4	4	PIC
91	5	8	PIC
92	4	6	PIC
93	3	5	PIC
94	3	3	PIC
95	4	6	PIC
96	4	6	PIC
97	3	4	PIC
98	3	5	PIC
99	4	5	PIC
100	3	3	PIC
101	4	5	PIC
102	3	5	PIC
103	4	6	PIC
104	5	9	PIC
105	4	5	PIC
106	4	8	PIC
107	4	5	PIC
108	3	5	PIC
109	4	4	PIC
110	3	5	PIC
111	2	2	PIC
112	3	4	PIC
113	3	9	PIC
114	5	10	PIC
115	4	5	PIC
116	3	3	PIC
117	2	3	PIC
118	2	2	PIC
119	4	4	PIC
120	3	4	PIC
121	4	10	PIC
122	5	6	PIC
123	3	3	PIC
124	4	8	PIC
125	4	8	PIC
126	3	6	PIC
127	4	6	PIC
128	3	4	PIC
129	3	6	PIC
130	4	6	PIC
131	4	7	PIC
132	4	5	PIC
133	3	5	PIC
134	3	3	PIC
135	3	4	PIC
136	3	3	PIC
137	4	10	PIC
138	4	4	PIC
139	4	9	PIC
140	3	3	PIC
141	3	6	PIC
142	5	6	PIC
143	3	5	PIC
144	4	9	PIC
145	3	4	PIC
146	4	7	PIC
147	4	7	PIC
148	3	4	PIC
149	4	9	PIC
150	4	5	PIC
151	4	5	PIC
152	4	8	PIC
153	4	6	PIC
154	3	3	PIC
155	3	3	PIC
156	6	6	PIC
157	3	4	PIC
158	4	6	PIC
159	3	4	PIC
160	3	6	PIC
161	4	5	PIC
162	3	4	PIC
163	4	5	PIC
164	3	4	PIC
165	3	5	PIC
166	4	10	PIC
167	4	6	PIC
168	3	6	PIC
169	5	7	PIC
170	3	4	PIC
171	4	4	PIC
172	4	5	PIC
173	3	4	PIC
174	3	4	PIC
175	3	4	PIC
176	3	4	PIC
177	3	3	PIC
178	3	3	PIC
179	4	5	PIC
180	4	9	PIC
181	3	5	PIC
182	4	7	PIC
183	4	4	PIC
184	4	7	PIC
185	4	7	PIC
186	3	5	PIC
187	6	7	PIC
188	5	7	PIC
