MGW_Sample,Locus4.A,Locus4.B,Locus14.A,Locus14.B,Locus16.A,Locus16.B
MGW_0903,216,218,175,175,157,170
MGW_0923,216,216,124,169,170,170
MGW_0992,216,216,169,169,157,166
MGW_1038,226,228,169,175,166,170
MGW_1115,218,218,134,134,157,170
MGW_1126,228,228,169,187,140,145
MGW_1155,216,228,169,187,166,170
MGW_1157,216,228,169,175,157,166
MGW_1249,216,228,169,175,157,166
MGW_1251,216,216,124,169,157,170
MGW_1280,216,228,187,187,170,170
MGW_1387,218,218,134,175,140,150
MGW_1346,228,228,169,175,140,166
MGW_1347,216,228,169,187,145,166
MGW_1348,216,228,175,187,140,166
MGW_1349,216,228,169,175,140,157
MGW_1350,216,228,175,187,145,157
MGW_1351,216,228,175,187,145,166
MGW_1352,216,216,169,169,157,170
MGW_1353,216,216,169,169,166,170
MGW_1354,216,216,169,169,157,170
MGW_1383,216,228,175,187,170,170
MGW_1386,216,218,134,164,150,170
MGW_1392,216,218,124,175,150,170
MGW_1393,218,228,134,187,157,166
MGW_1398,216,218,134,169,157,166
MGW_1399,216,216,175,175,166,170
MGW_1439,228,228,175,187,170,170
MGW_1487,218,228,134,187,157,170
MGW_1552,218,218,169,175,150,170
