ID,10347_126.A,10347_126.B,34595_13.A,34595_13.B,834_120.A,834_120.B,35579_107.A,35579_107.B,36149_27.A,36149_27.B,40923_41.A,40923_41.B
MGW_0903,1,1,2,2,2,2,2,2,2,3,1,2
MGW_0923,1,1,2,4,2,2,4,4,2,2,1,2
MGW_0992,1,1,4,4,4,4,2,4,2,2,2,2
MGW_1038,3,3,2,2,2,4,2,4,3,3,1,1
MGW_1115,1,3,2,4,4,4,2,4,3,3,1,1
MGW_1126,1,3,2,2,2,4,4,4,3,3,1,1
MGW_1155,3,3,4,4,4,4,4,4,2,3,2,2
MGW_1157,3,3,2,2,2,4,2,2,2,3,1,1
MGW_1249,1,3,2,2,2,2,2,2,2,3,1,1
MGW_1251,1,1,2,4,2,4,2,4,2,2,2,2
MGW_1280,3,3,4,4,2,2,2,2,2,3,2,2
MGW_1387,1,1,2,4,4,4,4,4,3,3,1,1
MGW_1346,1,1,2,2,4,4,2,4,3,3,1,1
MGW_1347,1,1,2,2,2,2,2,4,0,0,1,1
MGW_1348,1,3,2,2,2,2,2,4,2,3,1,1
MGW_1349,1,3,2,2,2,2,2,4,2,3,1,1
MGW_1350,1,3,2,2,2,2,2,4,2,3,1,1
MGW_1351,1,1,0,0,0,0,0,0,2,3,1,1
MGW_1352,1,1,2,4,2,4,4,4,2,2,2,2
MGW_1353,0,0,4,4,2,4,4,4,2,2,2,2
MGW_1354,1,1,2,4,2,4,4,4,2,2,1,2
MGW_1383,3,3,2,4,2,2,2,4,2,3,1,2
MGW_1386,1,1,2,2,2,4,4,4,2,3,1,2
MGW_1392,1,1,2,4,4,4,2,4,2,3,1,2
MGW_1393,1,3,0,0,4,4,2,4,3,3,1,2
MGW_1398,1,3,2,4,4,4,4,4,2,3,1,2
MGW_1399,0,0,0,0,0,0,0,0,0,0,0,0
MGW_1439,3,3,2,4,2,4,2,4,3,3,1,2
MGW_1487,3,3,4,4,4,4,4,4,3,3,1,2
MGW_1552,1,1,2,2,2,4,2,4,2,3,1,2
