A valid combination: CI01000028_6401654_6401837, CI01000026_3730297_3730372, CI01000049_3945348_3945368, CI01000354_1613215_1613281
A valid combination: CI01000028_6401654_6401837, CI01000026_3730297_3730372, CI01000167_436484_436712, CI01000354_1613215_1613281
A valid combination: CI01000028_6401654_6401837, CI01000026_3730297_3730372, CI01000243_257316_257438, CI01000354_1613215_1613281
A valid combination: CI01000028_6401654_6401837, CI01000026_3730297_3730372, CI01000049_3945038_3945070, CI01000354_1613215_1613281
A valid combination: CI01000028_6401654_6401837, CI01000026_3730297_3730372, CI01000356_730070_730269, CI01000354_1613215_1613281
A valid combination: CI01000028_6401654_6401837, CI01000167_436484_436712, CI01000243_257316_257438, CI01000354_1613215_1613281
A valid combination: CI01000028_6401654_6401837, CI01000243_257316_257438, CI01000049_3945038_3945070, CI01000354_1613215_1613281
A valid combination: CI01000028_6401654_6401837, CI01000243_257316_257438, CI01000356_730070_730269, CI01000354_1613215_1613281
A valid combination: CI01000026_3730297_3730372, CI01000049_3945348_3945368, CI01000167_436484_436712, CI01000354_1613215_1613281
A valid combination: CI01000026_3730297_3730372, CI01000049_3945348_3945368, CI01000243_257316_257438, CI01000354_1613215_1613281
A valid combination: CI01000026_3730297_3730372, CI01000167_436484_436712, CI01000049_3945038_3945070, CI01000354_1613215_1613281
A valid combination: CI01000026_3730297_3730372, CI01000167_436484_436712, CI01000356_730070_730269, CI01000354_1613215_1613281
A valid combination: CI01000026_3730297_3730372, CI01000243_257316_257438, CI01000049_3945038_3945070, CI01000354_1613215_1613281
A valid combination: CI01000026_3730297_3730372, CI01000243_257316_257438, CI01000356_730070_730269, CI01000354_1613215_1613281
A valid combination: CI01000049_3945348_3945368, CI01000167_436484_436712, CI01000243_257316_257438, CI01000354_1613215_1613281
A valid combination: CI01000167_436484_436712, CI01000243_257316_257438, CI01000049_3945038_3945070, CI01000354_1613215_1613281
A valid combination: CI01000167_436484_436712, CI01000243_257316_257438, CI01000356_730070_730269, CI01000354_1613215_1613281
