A valid combination: CI01000112_2849900_2850167, CI01000014_691259_691276, CI01000198_164288_164408
A valid combination: CI01000112_2849900_2850167, CI01000014_691259_691276, CI01000026_3731586_3731776
A valid combination: CI01000112_2849900_2850167, CI01000014_691259_691276, CI01000059_7260403_7260580
A valid combination: CI01000112_2849900_2850167, CI01000198_164288_164408, CI01000028_6400499_6400696
A valid combination: CI01000112_2849900_2850167, CI01000198_164288_164408, CI01000059_7260403_7260580
A valid combination: CI01000014_691259_691276, CI01000198_164288_164408, CI01000026_3731586_3731776
A valid combination: CI01000014_691259_691276, CI01000198_164288_164408, CI01000028_6400499_6400696
A valid combination: CI01000014_691259_691276, CI01000028_6400499_6400696, CI01000373_38395_38577
A valid combination: CI01000198_164288_164408, CI01000026_3731586_3731776, CI01000028_6400499_6400696
A valid combination: CI01000198_164288_164408, CI01000026_3731586_3731776, CI01000059_7260403_7260580
A valid combination: CI01000198_164288_164408, CI01000028_6400499_6400696, CI01000059_7260403_7260580
